personnel_id,deployment_type,continuous_duty_days,leave_days_taken_last_90d,leave_days_due,transfers_last_2yrs,overtime_hours_last_30d,self_assessment_score,sleep_hours_band,resting_hr_band,ground_truth_composite_score,elevated_welfare_risk
CRP-1001,field,75,7,32,0,38,-1,<5h,high,0.787,1
CRP-1002,high_stress,14,2,27,2,20,24,5-7h,normal,0.309,0
CRP-1003,field,38,1,20,1,17,16,<5h,elevated,0.514,0
CRP-1004,high_stress,66,1,29,2,39,14,<5h,high,0.876,1
CRP-1005,home_station,7,7,3,2,16,-1,>7h,elevated,0.224,0
CRP-1006,home_station,2,12,9,0,12,22,5-7h,normal,0.032,0
CRP-1007,home_station,16,9,13,0,19,-1,>7h,normal,0.197,0
CRP-1008,field,5,6,27,0,32,20,5-7h,normal,0.223,0
CRP-1009,home_station,12,16,11,1,27,13,<5h,normal,0.292,0
CRP-1010,home_station,10,12,0,1,10,-1,5-7h,normal,0.063,0
CRP-1011,home_station,1,15,11,1,25,-1,5-7h,normal,0.143,0
CRP-1012,home_station,5,13,11,0,0,25,<5h,normal,0.007,0
CRP-1013,field,30,7,22,3,34,13,5-7h,normal,0.508,0
CRP-1014,field,17,5,22,0,39,20,5-7h,elevated,0.36,0
CRP-1015,field,25,3,24,0,61,-1,<5h,normal,0.49,0
CRP-1016,field,5,4,7,1,35,18,>7h,normal,0.266,0
CRP-1017,home_station,1,15,3,1,25,25,<5h,elevated,0.119,0
CRP-1018,home_station,4,15,12,1,17,-1,5-7h,normal,0.145,0
CRP-1019,home_station,1,9,19,0,18,20,5-7h,elevated,0.137,0
CRP-1020,field,47,8,35,0,18,16,>7h,elevated,0.525,0
CRP-1021,high_stress,27,4,29,1,95,-1,<5h,normal,0.67,1
CRP-1022,high_stress,120,3,29,1,65,-1,<5h,high,0.967,1
CRP-1023,high_stress,15,0,34,4,36,17,5-7h,high,0.596,1
CRP-1024,home_station,7,13,12,0,7,25,>7h,elevated,0.058,0
CRP-1025,high_stress,41,10,41,3,64,13,5-7h,normal,0.765,1
CRP-1026,field,19,8,7,0,24,20,>7h,normal,0.186,0
CRP-1027,home_station,7,12,20,1,20,-1,5-7h,normal,0.165,0
CRP-1028,field,5,8,24,1,45,19,5-7h,elevated,0.321,0
CRP-1029,field,8,12,28,1,26,-1,<5h,normal,0.323,0
CRP-1030,home_station,1,13,13,0,14,20,5-7h,normal,0.082,0
CRP-1031,field,5,1,31,1,17,-1,5-7h,normal,0.29,0
CRP-1032,home_station,8,9,10,0,20,25,>7h,normal,-0.035,0
CRP-1033,high_stress,94,3,25,1,68,8,5-7h,elevated,1.017,1
CRP-1034,field,52,3,26,0,42,18,>7h,elevated,0.57,1
CRP-1035,field,37,7,18,2,53,-1,<5h,elevated,0.611,1
CRP-1036,field,43,8,17,0,31,-1,>7h,normal,0.411,0
CRP-1037,field,14,2,10,1,44,-1,<5h,normal,0.397,0
CRP-1038,home_station,7,15,9,0,19,25,<5h,elevated,0.098,0
CRP-1039,home_station,43,12,2,1,3,-1,>7h,elevated,0.291,0
CRP-1040,high_stress,32,2,40,1,52,17,<5h,normal,0.628,1
CRP-1041,home_station,10,14,17,2,3,-1,5-7h,high,0.206,0
CRP-1042,home_station,35,12,10,0,18,20,5-7h,normal,0.268,0
CRP-1043,field,57,3,37,0,25,10,5-7h,normal,0.585,1
CRP-1044,high_stress,120,3,50,2,63,10,>7h,high,1.051,1
CRP-1045,high_stress,80,6,43,4,47,8,>7h,high,1.105,1
CRP-1046,high_stress,25,0,26,1,58,-1,>7h,normal,0.549,0
CRP-1047,high_stress,115,2,38,2,34,12,5-7h,elevated,0.968,1
CRP-1048,field,36,3,29,1,35,17,<5h,normal,0.537,0
CRP-1049,high_stress,38,1,38,1,29,23,>7h,normal,0.538,0
CRP-1050,field,24,6,6,1,34,-1,5-7h,normal,0.299,0
CRP-1051,home_station,1,14,11,0,7,24,5-7h,normal,-0.002,0
CRP-1052,home_station,1,9,6,0,3,24,5-7h,normal,-0.078,0
CRP-1053,high_stress,101,3,30,3,51,-1,<5h,elevated,1.019,1
CRP-1054,field,11,0,33,0,32,23,5-7h,normal,0.254,0
CRP-1055,home_station,5,5,11,0,13,23,5-7h,normal,0.065,0
CRP-1056,high_stress,27,4,32,2,42,-1,5-7h,normal,0.537,0
CRP-1057,field,21,1,8,0,41,17,5-7h,normal,0.28,0
CRP-1058,home_station,22,12,5,0,18,-1,>7h,normal,0.169,0
CRP-1059,home_station,11,12,13,0,22,19,5-7h,normal,0.065,0
CRP-1060,home_station,9,12,13,0,1,22,5-7h,normal,0.022,0
CRP-1061,home_station,45,16,7,0,23,20,5-7h,normal,0.273,0
CRP-1062,high_stress,120,2,35,4,45,9,5-7h,high,1.068,1
CRP-1063,home_station,15,10,7,0,19,25,5-7h,elevated,0.132,0
CRP-1064,field,11,4,5,1,30,22,5-7h,normal,0.183,0
CRP-1065,high_stress,39,0,43,1,62,19,5-7h,high,0.673,1
CRP-1066,home_station,13,8,10,1,11,-1,5-7h,elevated,0.201,0
CRP-1067,high_stress,14,1,39,3,41,21,5-7h,normal,0.549,0
CRP-1068,home_station,23,4,17,0,16,25,<5h,elevated,0.215,0
CRP-1069,field,63,8,13,1,40,20,>7h,high,0.556,1
CRP-1070,field,5,6,28,1,27,21,>7h,normal,0.209,0
CRP-1071,field,63,1,9,1,19,16,<5h,normal,0.501,0
CRP-1072,field,13,5,25,1,22,-1,<5h,normal,0.382,0
CRP-1073,home_station,45,22,10,0,8,-1,5-7h,normal,0.299,0
CRP-1074,home_station,6,9,10,1,26,14,5-7h,normal,0.161,0
CRP-1075,high_stress,116,2,17,2,43,12,<5h,elevated,0.999,1
CRP-1076,home_station,11,9,12,0,12,22,5-7h,elevated,0.094,0
CRP-1077,field,5,9,24,0,31,22,5-7h,elevated,0.205,0
CRP-1078,high_stress,16,1,17,2,66,13,5-7h,elevated,0.595,1
CRP-1079,high_stress,14,2,31,3,71,-1,<5h,normal,0.66,1
CRP-1080,field,7,0,21,3,32,20,<5h,elevated,0.392,0
CRP-1081,home_station,8,13,1,0,11,24,<5h,elevated,0.089,0
CRP-1082,field,27,8,5,1,19,22,<5h,normal,0.271,0
CRP-1083,home_station,4,8,3,1,19,17,5-7h,elevated,0.115,0
CRP-1084,home_station,3,14,7,0,15,25,<5h,normal,0.005,0
